,2017-01-01,2017-02-01,2017-03-01,2017-04-01,2017-05-01,2017-06-01,2017-07-01,2017-08-01,2017-09-01,2017-10-01,2017-11-01,2017-12-01,2018-01-01,2018-02-01,2018-03-01,2018-04-01,2018-05-01,2018-06-01,2018-07-01,2018-08-01,2018-09-01,2018-10-01,2018-11-01,2018-12-01,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01
COF,55.21,55.21,55.21,55.21,55.33,55.33,55.33,55.33,55.33,57.13,57.13,57.13,57.13,57.13,57.13,57.13,57.13,57.13,57.13,57.13,57.13,55.63,55.27,55.27,55.27,55.27,55.27,55.45,55.45,55.45,55.27,55.27,51.68,51.68,51.68,26.0,26.0
CAH,56.97,56.97,56.97,56.97,57.1,57.1,57.1,57.1,57.1,54.99,54.35,54.35,54.35,55.97,55.97,55.97,55.97,55.97,55.97,55.93,55.93,55.93,59.15,59.65,59.65,59.65,59.6,59.6,59.6,59.82,59.82,59.82,59.82,59.82,59.82,58.85,16.34
KMX,50.37,50.37,50.37,50.37,50.37,50.37,50.37,47.82,47.82,47.59,47.59,47.59,47.59,47.59,47.59,47.59,47.59,47.59,47.59,47.59,47.85,47.85,47.85,47.85,47.85,47.85,47.85,47.85,47.85,47.85,47.88,47.88,47.88,47.88,47.88,47.07,13.44
CCL,60.6,60.6,60.6,60.6,60.6,60.6,60.6,60.6,60.6,61.26,61.26,62.16,60.12,60.12,60.12,60.12,60.12,60.12,60.12,60.12,60.12,60.12,60.22,60.22,60.51,60.76,60.76,60.76,60.76,60.76,60.76,60.76,60.76,60.76,60.68,20.1,20.1
CAT,61.63,61.63,61.63,62.59,61.84,61.84,61.84,61.84,61.84,59.78,59.78,59.78,59.78,59.78,59.78,59.78,59.78,59.82,59.82,59.82,59.82,59.74,59.44,59.44,59.44,59.44,59.58,59.62,59.62,59.62,59.62,60.13,60.13,60.13,60.13,37.74,37.74
CBOE,53.3,53.3,53.3,53.3,53.3,53.3,53.3,45.15,45.15,46.25,46.25,46.25,46.25,46.25,46.25,46.25,46.25,46.25,46.25,46.25,45.37,46.57,46.57,46.57,46.57,46.57,46.57,46.57,46.57,46.57,46.57,46.57,46.57,46.57,46.57,44.55,21.69
CBRE,69.02,69.02,69.02,69.02,69.89,69.89,69.89,69.89,69.89,63.47,63.47,63.43,63.43,63.31,63.26,63.26,63.26,63.26,63.26,63.26,63.26,63.35,63.43,63.43,63.43,70.19,70.44,70.44,70.44,70.44,70.44,70.44,70.44,70.44,70.55,69.8,7.3
CDW,47.35,47.35,47.35,47.35,47.35,47.35,47.35,47.35,45.65,45.69,45.69,45.69,45.69,45.69,45.69,45.69,45.69,45.69,45.69,45.69,45.69,45.69,45.59,48.14,48.14,48.14,48.14,48.14,48.14,48.14,48.14,48.14,48.14,48.14,48.07,47.74,11.08
CE,57.14,57.14,57.14,57.14,57.14,57.14,57.14,57.11,57.11,56.11,55.44,55.44,56.01,56.01,56.01,56.01,56.01,56.01,56.01,56.01,54.56,54.56,54.56,54.56,54.56,56.52,56.52,56.52,56.52,56.73,56.73,58.18,58.4,58.4,58.75,57.83,34.36
CNC,49.5,49.5,48.74,48.74,48.74,48.74,48.74,48.74,48.74,48.34,48.34,48.34,48.34,48.34,44.69,44.69,44.69,44.69,44.69,44.69,44.69,44.69,44.79,47.24,47.24,47.24,47.24,47.24,47.24,47.24,47.24,47.24,47.24,47.24,47.74,46.92,29.11
CF,46.55,46.55,46.55,46.55,48.45,48.45,46.55,48.45,48.42,48.39,48.39,48.39,48.39,48.39,48.39,48.39,48.39,48.39,51.33,51.33,51.33,51.33,51.43,51.43,51.43,51.43,50.12,50.12,49.8,49.8,49.8,49.8,49.8,49.77,49.77,50.49,48.43
SCHW,49.73,49.73,49.73,49.73,50.73,50.73,50.73,50.73,52.36,51.97,51.97,51.97,51.97,50.92,50.92,51.35,51.35,52.14,52.14,52.14,52.14,52.14,51.83,51.83,51.83,52.88,52.88,52.88,55.62,55.62,55.62,55.62,55.78,55.99,55.99,26.92,26.87
CHTR,45.03,45.03,45.03,45.03,44.97,44.91,44.97,44.91,44.91,46.5,46.5,46.5,46.5,46.5,46.5,46.5,45.96,45.96,45.96,45.96,45.96,45.96,45.72,45.72,45.72,45.72,45.72,45.72,46.18,46.18,46.18,45.04,45.04,45.04,45.28,19.81,19.81
CVX,59.43,59.43,59.43,61.54,59.61,59.61,59.61,59.61,59.61,59.18,59.18,58.74,58.74,58.74,59.97,59.97,59.97,59.97,59.97,59.97,59.97,58.63,58.47,58.51,58.51,58.51,58.81,58.81,58.81,58.81,58.81,58.81,59.25,59.25,59.41,42.15,42.15
CMG,54.63,54.63,54.63,54.63,54.63,54.63,54.63,54.63,55.16,54.89,54.89,54.89,54.89,54.89,54.89,54.89,54.89,54.89,54.89,52.9,52.9,53.34,53.44,53.44,53.44,53.44,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,56.5,55.69,24.94
CB,51.04,51.04,51.04,51.78,50.53,50.53,50.53,50.48,50.48,51.37,51.37,51.37,51.37,51.37,51.37,51.37,51.37,51.37,51.37,51.37,56.49,56.49,56.29,56.29,56.29,56.29,56.57,56.57,56.61,56.61,56.61,56.44,56.44,56.44,56.44,23.39,23.39
CHD,59.6,59.6,59.6,59.6,60.87,63.31,60.87,64.16,64.16,64.11,64.11,64.01,64.01,64.01,64.01,64.01,64.01,63.44,65.37,65.37,65.37,64.77,64.67,64.67,64.67,64.67,64.67,64.67,64.67,64.67,64.67,64.67,64.67,64.67,64.97,64.75,25.45
CINF,50.09,50.09,50.09,50.09,50.46,50.46,50.46,50.41,50.41,49.87,49.87,50.66,50.66,50.66,50.66,50.66,50.66,50.66,50.66,50.66,50.66,50.23,50.23,50.23,50.23,50.23,50.11,50.11,50.11,50.11,50.11,50.11,50.11,50.11,50.18,49.66,26.68
CTAS,56.88,56.88,56.88,56.88,56.88,56.88,56.88,55.93,55.93,56.0,56.0,56.0,56.0,56.0,56.0,52.44,52.44,52.44,52.44,52.44,52.44,52.44,52.54,52.54,52.54,52.54,52.54,52.54,52.54,52.54,52.34,49.27,49.27,49.27,49.27,46.91,25.51
CSCO,78.77,78.77,78.77,78.77,80.23,80.23,80.23,80.23,80.23,78.97,78.97,78.97,78.82,78.82,78.82,80.17,80.17,80.17,80.17,80.17,80.17,80.17,80.27,80.27,80.27,80.27,80.15,80.15,80.15,80.15,80.15,80.15,80.15,80.15,79.98,14.11,14.11
C,66.75,66.75,70.4,70.4,69.36,69.36,69.36,69.36,69.36,67.83,67.83,67.83,67.83,67.83,67.83,64.46,64.45,64.45,64.45,64.45,64.45,64.45,64.12,64.12,69.24,69.24,69.55,69.85,71.74,71.74,71.74,71.74,71.74,71.74,71.74,30.12,30.67
CFG,49.78,49.78,49.78,49.78,47.83,46.23,49.03,46.18,46.13,46.24,46.24,46.24,46.24,46.24,45.35,45.35,45.35,45.35,45.35,45.35,45.35,45.28,45.09,45.09,45.09,45.09,45.09,45.09,45.09,45.09,45.09,47.71,47.71,47.82,47.82,47.72,27.92
CTXS,55.71,55.71,55.71,55.71,55.71,55.71,55.71,55.71,55.79,57.15,57.15,57.15,57.15,57.15,57.15,57.15,57.15,57.15,57.15,57.15,57.15,57.22,57.12,57.12,57.12,57.12,57.12,57.12,57.12,57.12,57.12,57.12,57.12,57.12,58.32,56.75,18.21
CLX,73.34,73.34,73.34,69.3,69.44,69.44,69.44,69.44,69.44,70.12,70.12,70.12,70.12,70.12,71.52,70.63,70.63,70.06,70.06,70.06,70.06,70.03,69.73,69.24,69.24,69.24,67.95,67.95,67.46,67.46,67.46,67.46,67.46,67.89,67.89,67.2,23.48
CME,51.51,51.51,52.09,52.23,52.23,52.23,52.23,52.23,52.23,52.13,52.13,52.13,52.13,52.13,52.13,53.44,53.44,53.44,53.44,53.44,53.44,53.44,53.17,53.17,53.17,53.25,53.25,53.25,53.25,53.36,53.03,53.03,53.03,53.03,53.03,17.07,17.07
CMS,77.32,77.32,77.32,77.32,77.06,77.06,77.06,77.06,78.52,77.89,77.89,77.89,77.89,77.89,77.89,77.89,77.89,77.89,77.89,77.89,77.89,78.45,77.82,77.39,77.39,77.39,77.39,77.32,77.32,77.32,77.04,77.04,77.04,80.82,80.84,80.27,27.62
KO,62.99,62.99,62.99,62.99,62.86,62.86,62.86,62.86,62.86,62.34,62.31,60.46,60.64,60.64,59.14,59.44,59.44,59.44,59.06,59.06,59.06,59.06,59.71,59.71,64.06,63.21,63.46,63.46,63.46,61.38,61.38,61.38,61.38,61.38,61.38,26.07,26.07
CTSH,60.92,60.92,60.92,60.92,61.17,61.17,61.17,61.17,61.17,60.49,60.49,60.49,61.02,61.02,61.02,61.02,61.02,61.02,61.02,61.02,61.02,61.02,61.02,63.57,63.57,63.57,63.57,63.57,64.77,64.77,64.77,64.74,64.74,64.74,64.74,63.28,19.17
CL,71.29,71.29,71.29,71.29,71.56,71.56,71.56,71.56,71.97,70.58,72.25,72.25,72.25,72.15,72.11,71.51,71.51,71.51,71.49,71.46,71.46,71.46,70.51,70.51,70.51,71.56,71.56,71.56,71.56,71.56,71.56,71.56,71.56,71.56,71.66,22.11,22.11
CMCSA,61.45,61.45,61.45,60.69,60.69,60.69,60.69,60.69,60.69,59.99,59.99,59.99,55.37,55.37,55.37,55.37,55.37,55.37,55.37,55.37,56.7,60.11,59.95,59.95,59.95,59.95,59.95,59.95,59.95,59.95,59.95,59.98,59.98,60.12,60.12,19.38,19.38
CMA,60.19,60.19,60.19,60.19,60.19,60.19,60.19,60.19,60.19,59.52,59.52,59.52,59.52,59.52,59.52,59.52,59.52,59.52,59.52,56.92,56.5,56.74,56.54,56.54,56.54,56.54,56.67,56.67,56.67,56.67,56.67,56.67,56.67,56.5,54.8,54.64,26.77
CAG,58.16,58.16,58.16,58.16,58.16,58.16,58.16,58.16,58.16,56.71,56.71,56.71,56.71,56.21,56.21,56.21,56.21,56.21,57.11,57.11,57.11,57.11,56.78,56.19,56.19,56.19,58.6,58.6,59.01,59.01,59.01,59.01,59.01,59.01,59.23,59.82,29.2
COP,69.31,69.31,69.31,69.31,69.18,69.18,69.18,72.75,72.75,69.02,69.02,69.01,69.01,67.77,67.77,67.77,67.77,67.77,67.77,67.77,67.77,67.69,67.45,67.45,67.45,67.45,67.89,70.78,70.78,70.78,70.78,70.78,70.78,70.78,78.0,30.75,30.75
ED,62.95,62.95,62.95,62.95,62.4,62.4,62.4,60.26,60.26,58.48,58.48,62.6,62.6,62.6,62.6,62.6,62.6,62.6,62.6,62.6,62.6,62.5,62.6,62.6,62.6,65.15,65.15,65.25,65.25,65.21,65.21,65.21,65.21,65.21,65.21,65.45,28.61
STZ,49.26,49.26,49.18,49.18,49.84,49.84,49.84,49.84,54.48,54.15,54.15,54.15,54.15,52.78,52.78,52.78,52.78,52.78,52.78,52.78,52.78,52.56,52.81,53.57,53.57,53.57,53.79,53.79,55.58,55.58,55.58,55.58,55.58,55.47,55.13,53.54,22.91
COO,50.38,50.38,50.38,50.38,50.38,50.38,50.38,50.38,50.38,50.02,50.02,49.52,49.52,49.52,49.52,49.52,49.52,49.52,49.52,49.52,49.52,49.52,49.47,49.47,49.47,50.24,50.24,50.24,50.24,50.24,50.24,50.19,50.19,50.19,50.19,49.21,22.34
CPRT,43.69,43.69,43.69,42.84,42.84,42.84,42.84,42.84,42.84,43.42,43.42,43.43,43.43,43.43,43.43,43.43,43.43,43.43,43.43,43.43,43.43,43.2,43.2,43.2,43.2,43.2,43.2,43.2,43.2,45.77,45.77,45.77,45.77,45.77,45.77,45.73,24.03
GLW,57.6,57.6,57.6,61.81,61.81,61.81,61.81,58.54,58.54,58.58,58.58,58.58,58.58,58.58,58.58,58.58,58.58,58.58,60.89,60.89,60.89,60.86,60.96,61.04,61.08,61.08,61.08,61.08,61.08,63.78,63.78,63.78,63.78,63.78,63.96,64.3,19.94
CSGP,46.2,46.2,46.2,46.2,46.2,46.2,46.2,45.8,45.55,45.3,45.3,45.3,45.3,45.3,45.3,45.3,45.3,45.3,45.3,45.3,45.3,45.08,45.08,45.08,44.23,44.23,44.23,44.23,44.23,44.23,44.36,44.36,44.36,44.36,44.36,43.64,25.72
COST,53.58,53.58,53.58,53.58,53.83,53.83,53.83,55.23,55.24,54.75,54.75,54.75,54.75,54.75,54.75,55.45,55.45,55.45,55.45,54.98,52.97,52.97,53.07,53.07,53.07,53.07,53.07,53.07,51.88,51.3,52.14,53.39,53.39,53.51,53.51,22.54,22.54
CCI,48.76,48.76,48.76,48.76,48.76,48.76,48.76,48.76,48.76,48.32,48.32,48.32,47.66,47.66,47.66,47.66,47.66,47.66,47.66,47.92,47.92,47.92,48.04,48.04,48.04,48.04,48.04,48.04,48.6,48.6,48.37,48.37,48.37,48.37,48.37,46.93,20.65
CSX,59.82,59.82,59.82,59.06,57.36,57.32,57.36,57.32,57.32,55.25,55.25,55.25,55.25,55.25,55.25,55.25,55.25,55.25,55.25,55.25,55.25,55.18,55.18,55.18,55.18,52.23,54.9,54.9,55.8,55.8,55.8,55.8,55.8,55.55,55.55,22.42,22.42
CMI,70.08,70.08,70.08,70.08,70.08,70.08,70.08,70.04,70.04,69.81,69.81,69.81,69.81,69.81,69.81,70.8,70.8,70.8,70.8,70.8,69.3,68.34,68.34,68.34,68.34,68.34,68.34,68.34,67.34,67.34,67.65,67.65,67.65,67.65,67.65,67.18,18.82
CVS,62.63,62.63,62.63,62.63,63.28,63.28,63.28,63.28,65.67,65.33,65.33,65.61,65.61,65.61,65.61,65.61,66.01,66.01,66.01,66.01,65.61,65.61,65.39,65.39,65.39,65.39,62.42,61.23,61.82,61.82,61.82,61.82,61.82,61.73,61.73,20.29,20.39
DHI,45.26,45.26,45.26,45.21,45.21,45.21,45.21,45.21,45.21,45.27,45.27,45.27,45.27,45.27,45.27,46.36,45.41,45.41,45.41,45.41,45.41,45.28,45.28,45.28,45.28,45.28,45.28,45.28,45.28,46.26,46.26,46.26,46.26,46.26,46.26,45.43,20.88
DHR,52.03,52.03,52.03,51.39,51.39,51.39,51.39,51.39,51.39,50.79,50.79,50.79,54.8,54.4,54.36,54.36,54.36,54.36,54.36,54.86,54.86,54.86,54.86,54.86,54.86,54.86,54.52,55.0,55.0,55.99,55.99,55.0,55.1,55.06,56.92,32.72,32.72
DRI,57.98,57.98,57.98,57.98,56.36,56.36,56.36,57.86,57.86,57.14,57.14,54.53,52.23,52.2,52.2,52.2,52.2,52.2,52.2,52.2,51.25,50.69,50.79,50.79,50.79,50.79,50.79,50.79,51.83,51.83,51.05,51.32,51.32,51.32,51.32,50.05,22.35
DVA,55.3,55.3,55.3,55.3,55.3,55.3,55.3,55.25,55.25,54.87,54.87,54.87,53.61,53.61,53.61,53.61,53.61,53.61,53.61,53.61,53.61,53.61,53.61,53.61,53.61,53.61,52.21,52.21,52.21,54.73,54.73,54.73,54.7,53.75,53.32,51.96,21.02
DE,66.59,66.59,66.59,66.59,66.18,66.18,66.18,66.18,65.37,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,64.92,64.92,65.07,62.92,62.92,62.92,62.92,62.92,62.92,62.12,60.69,60.69,60.69,60.69,60.83,61.08,60.4,18.94
DAL,59.51,59.51,60.27,60.27,61.35,61.35,61.35,61.35,61.35,60.75,60.75,60.75,60.75,60.75,60.75,57.99,57.99,57.99,57.99,57.99,57.99,57.99,57.66,57.66,59.54,59.29,59.29,59.29,59.29,59.26,59.26,59.26,59.21,59.21,59.39,59.27,25.85
XRAY,56.19,56.19,56.19,56.19,56.56,56.56,56.56,56.56,56.56,56.33,56.33,56.33,55.07,55.07,55.07,55.07,55.07,55.07,55.07,55.07,55.07,55.07,55.17,55.17,55.17,55.17,57.42,57.82,57.82,57.82,57.82,57.82,57.82,57.82,57.82,56.37,20.26
DVN,61.67,61.67,61.67,61.67,61.93,61.93,61.93,61.98,61.98,62.8,62.8,62.9,68.3,68.3,68.3,68.3,68.3,68.3,68.3,68.3,68.15,68.15,68.15,68.15,68.15,68.15,68.29,69.27,69.27,69.27,69.27,69.27,69.36,69.36,69.7,68.92,34.16
DXCM,48.43,48.43,48.43,48.43,48.43,48.43,48.43,48.43,47.35,46.84,46.84,46.84,46.84,46.84,46.84,46.84,46.84,46.8,46.8,46.8,46.8,46.85,46.55,46.55,46.55,45.6,45.6,45.6,45.6,45.6,45.6,45.6,45.6,45.6,45.48,44.38,42.11
DLR,57.85,57.85,57.81,57.81,57.77,57.77,57.81,57.81,57.81,57.22,57.22,57.22,57.22,57.22,57.22,57.22,57.22,57.22,57.22,57.22,57.22,53.86,53.86,53.86,53.86,53.86,53.86,53.86,53.86,53.86,53.86,53.86,53.86,53.86,66.91,65.61,14.42
DFS,52.19,52.19,52.19,52.19,52.19,55.02,52.19,55.02,55.02,56.33,56.33,56.33,56.33,56.33,56.33,56.33,56.33,56.33,56.33,56.38,56.38,56.58,56.22,56.22,56.22,56.22,56.22,58.28,58.28,58.28,58.28,58.28,58.28,58.28,58.43,57.9,20.82
DISH,42.83,42.83,42.83,42.83,42.83,42.83,42.83,41.34,40.92,42.31,42.31,42.32,42.58,42.58,42.58,42.58,42.58,42.58,42.58,42.58,42.58,43.69,43.69,43.69,43.69,43.69,43.69,43.69,43.69,43.69,43.69,43.69,43.69,43.75,43.67,43.4,20.61
DIS,64.11,64.08,64.08,64.08,64.08,64.08,64.08,64.08,64.08,66.6,66.6,63.91,63.91,63.91,63.91,64.03,64.03,64.03,64.03,64.03,64.03,64.03,63.95,63.95,63.95,63.95,65.01,65.01,65.01,65.01,65.01,65.01,65.01,64.96,64.96,14.45,14.57
DG,49.83,49.83,49.83,49.83,49.83,49.83,49.83,49.16,49.16,48.18,48.18,48.18,48.18,48.18,48.18,48.18,48.18,48.18,48.18,48.18,47.81,47.81,48.01,48.01,48.01,47.81,47.81,47.81,47.81,47.81,47.81,47.81,47.81,47.81,47.81,46.71,17.19
DLTR,51.57,51.57,51.57,51.57,51.19,51.19,51.57,49.54,49.54,49.47,49.47,49.47,50.15,50.15,50.15,50.15,50.15,50.15,50.15,50.15,50.15,50.15,50.25,49.37,49.37,49.37,49.37,49.37,49.37,49.37,49.37,49.37,49.37,49.37,49.55,48.11,19.8
D,60.38,60.38,60.01,60.01,60.01,60.01,59.74,60.01,60.01,61.63,61.63,61.63,61.63,61.63,61.63,61.63,61.63,61.63,61.42,61.42,61.42,61.38,61.08,61.52,61.52,61.51,61.51,61.23,61.23,60.47,60.47,60.47,60.47,60.47,60.47,34.83,34.63
DPZ,43.72,43.72,43.72,43.72,43.72,43.72,43.72,43.72,43.72,43.63,43.68,43.68,43.68,43.68,43.68,43.68,43.68,43.68,43.68,43.68,43.68,43.66,43.76,45.23,45.23,45.23,44.21,44.21,44.21,44.21,44.26,44.26,44.26,44.26,44.26,43.35,27.63
DOV,63.78,63.78,63.78,63.78,63.35,63.35,63.35,63.35,63.35,63.0,63.0,63.0,63.0,63.0,55.08,55.08,55.08,55.08,55.08,55.08,55.08,54.93,54.93,54.93,54.93,54.93,54.93,54.93,55.84,55.84,55.84,55.84,55.84,55.84,55.99,54.59,32.92
DTE,66.18,66.18,66.18,66.18,66.98,66.98,66.98,66.98,68.84,68.86,68.86,68.86,68.86,68.86,68.86,68.86,68.86,68.86,68.86,68.86,68.86,68.88,68.98,69.43,69.43,71.37,71.65,71.65,71.65,71.63,71.63,71.63,71.63,71.83,71.83,71.91,30.77
DUK,57.53,57.53,57.53,57.53,57.66,57.66,57.66,59.96,59.96,62.19,62.19,62.19,62.19,62.19,62.19,62.19,62.19,62.19,62.19,62.19,62.19,62.8,62.8,63.1,63.1,63.09,63.09,63.09,63.09,63.09,63.09,63.09,63.09,63.09,63.09,33.99,33.99
DRE,52.39,52.39,52.39,52.39,52.39,52.39,52.39,52.39,52.39,53.41,53.41,53.41,53.41,53.41,53.41,53.41,53.41,53.41,53.41,54.39,54.39,54.39,54.15,54.15,54.15,54.15,54.15,54.15,54.15,54.15,54.15,54.15,54.88,54.88,54.88,53.32,16.92
EMN,64.74,64.74,64.74,64.74,65.0,65.0,65.0,65.0,65.0,63.69,65.65,65.65,65.65,65.65,65.65,65.65,65.69,65.69,65.69,65.69,65.69,65.42,68.29,68.26,68.26,68.26,68.49,68.49,68.49,67.92,67.92,67.92,67.92,67.92,68.02,67.39,27.71
ETN,79.7,79.7,79.7,79.7,77.31,77.31,77.31,77.31,77.28,73.63,73.63,73.63,73.63,73.63,74.2,74.2,74.2,74.2,74.2,74.2,74.2,74.2,74.3,75.46,75.46,75.46,77.39,77.39,77.39,77.31,77.31,77.31,77.31,77.31,77.27,76.72,17.77
EBAY,62.42,62.42,62.42,62.42,62.67,62.67,62.67,62.67,63.22,63.38,63.38,63.38,63.38,63.38,63.38,63.38,63.38,63.38,63.38,63.38,63.38,63.75,63.65,63.94,63.94,63.94,63.94,63.94,63.96,63.96,63.96,63.96,63.86,63.86,63.86,60.38,20.19
ECL,67.99,67.99,65.93,65.88,65.61,65.61,65.61,65.58,65.58,64.03,64.03,64.03,64.03,64.03,64.03,62.85,62.85,62.85,62.85,61.9,61.24,61.24,61.24,59.95,59.95,59.95,59.46,59.46,60.75,60.75,60.75,60.66,60.66,60.66,60.96,62.27,31.82
EIX,59.81,59.81,59.81,59.81,61.24,61.24,61.24,61.24,61.24,58.74,58.74,58.74,58.74,58.74,58.74,59.6,59.6,59.6,59.6,59.6,59.6,62.84,62.64,62.64,61.44,61.44,61.72,64.57,64.57,64.57,64.57,64.57,64.57,64.77,64.77,65.08,38.22
EW,63.97,63.97,63.97,63.97,64.35,64.35,64.35,66.42,66.42,66.26,66.26,66.26,66.26,66.39,66.39,66.35,65.59,65.59,65.59,65.59,65.59,68.04,70.62,70.87,70.87,71.63,71.06,71.06,71.06,71.06,71.06,71.06,71.06,71.06,71.01,70.06,21.65
EA,45.93,45.93,45.93,45.93,47.63,47.63,47.63,47.63,47.63,48.86,48.86,48.86,48.86,48.86,48.86,48.86,51.64,51.64,51.64,51.64,51.64,51.95,51.95,51.95,51.95,51.95,51.95,51.95,51.95,52.32,52.32,52.32,52.32,52.32,52.32,52.47,14.82
LLY,58.15,58.15,58.15,58.15,58.28,59.63,58.28,59.63,59.63,59.01,60.86,60.86,60.86,60.86,60.86,60.86,60.86,60.86,60.92,60.92,60.92,57.53,57.61,57.94,57.94,57.94,58.07,58.07,58.07,58.07,58.07,58.07,58.07,58.87,58.87,33.98,33.98
