,2017-01-01,2017-02-01,2017-03-01,2017-04-01,2017-05-01,2017-06-01,2017-07-01,2017-08-01,2017-09-01,2017-10-01,2017-11-01,2017-12-01,2018-01-01,2018-02-01,2018-03-01,2018-04-01,2018-05-01,2018-06-01,2018-07-01,2018-08-01,2018-09-01,2018-10-01,2018-11-01,2018-12-01,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01
EMR,58.21,58.21,58.21,58.79,58.79,58.79,58.79,58.79,58.76,58.32,58.32,58.32,58.32,58.32,58.32,58.24,58.24,58.24,58.24,58.2,58.2,57.91,57.91,57.34,59.77,59.77,60.21,60.68,60.68,60.68,60.68,60.68,60.68,60.68,60.68,23.47,23.47
ETR,68.06,68.06,68.06,67.84,65.96,65.96,65.96,65.96,65.96,65.73,65.73,65.73,65.73,65.73,65.73,65.73,65.73,65.79,65.79,65.79,65.64,65.64,65.74,66.18,66.18,66.18,66.18,65.62,65.18,65.18,65.18,65.18,65.18,65.18,66.37,66.83,34.77
EOG,50.09,50.09,50.09,54.99,54.99,54.99,54.99,54.99,54.99,56.4,56.4,56.4,56.4,56.4,56.4,56.4,56.4,56.4,56.4,60.3,60.3,60.26,60.34,60.34,60.34,60.34,60.34,60.34,60.34,60.34,60.34,60.34,60.34,60.34,60.4,44.79,44.74
EFX,46.8,46.8,46.8,46.55,46.55,45.58,46.55,45.58,45.58,41.46,41.46,41.46,41.46,41.46,41.46,41.46,41.46,41.46,41.41,41.41,41.41,41.41,41.36,41.36,41.36,41.36,41.36,41.36,42.08,42.41,42.41,42.41,42.41,42.41,42.41,40.34,28.24
EQIX,57.74,57.74,57.74,57.74,58.24,58.24,58.24,58.24,58.24,58.35,58.35,58.35,58.35,58.35,58.35,58.35,58.35,58.35,59.38,59.38,59.38,59.38,59.38,59.38,59.38,59.38,59.13,59.13,59.13,59.13,59.13,55.58,55.58,55.58,55.66,56.06,16.18
EQR,51.18,51.18,51.18,53.26,53.26,53.26,53.26,53.26,53.26,53.24,53.84,53.84,53.84,53.84,53.84,57.52,57.52,57.52,57.52,57.52,57.52,57.52,57.52,57.47,57.47,57.47,57.47,57.47,58.41,58.41,58.41,58.41,58.41,58.41,58.62,56.74,15.84
ESS,47.72,47.72,47.72,49.04,49.04,49.04,49.04,49.04,49.04,48.36,48.36,48.36,48.36,48.36,48.36,48.36,48.36,48.36,48.36,48.36,51.78,51.78,51.78,51.78,51.78,51.78,51.78,51.78,52.26,52.26,52.26,52.26,52.26,52.26,53.71,51.59,16.16
EL,66.15,66.15,66.15,66.15,66.73,66.73,66.73,66.73,65.33,63.12,63.12,63.12,63.56,63.56,63.56,63.56,62.99,62.99,62.99,62.99,62.99,63.76,61.81,61.81,61.81,61.81,61.81,61.81,61.81,61.81,61.21,61.21,65.19,64.89,64.89,64.23,27.42
RE,47.41,47.41,47.41,47.41,47.41,47.41,47.41,47.41,47.41,46.88,46.88,46.88,46.88,46.88,46.88,46.88,46.88,46.88,46.88,46.88,46.88,46.88,46.68,46.57,46.57,46.32,46.26,46.26,46.26,46.26,46.26,46.26,46.26,46.26,46.36,46.9,27.13
ES,68.87,68.87,68.87,68.87,70.32,70.32,70.32,72.76,72.76,72.42,72.42,72.42,72.42,72.42,71.57,71.57,71.57,74.83,74.83,74.83,74.83,74.83,74.93,74.67,74.67,74.67,74.67,74.67,74.67,74.67,74.67,74.67,74.67,74.67,80.87,80.67,24.02
EXC,71.63,71.63,71.63,71.63,71.9,71.9,71.9,71.9,71.9,71.09,71.09,70.25,70.25,70.25,70.25,70.25,70.25,70.25,70.25,70.25,70.25,70.25,70.05,70.05,71.93,71.93,71.65,71.65,71.65,71.65,71.65,71.65,71.65,71.65,71.67,71.96,25.94
EXPE,46.45,46.45,46.45,46.45,46.42,46.42,46.42,46.46,45.2,45.63,45.63,45.63,45.63,45.63,45.63,45.63,45.63,45.63,45.63,45.63,42.75,42.75,42.85,42.85,42.85,42.8,42.23,42.23,42.23,42.23,42.23,42.23,42.23,42.23,47.57,46.37,23.17
EXPD,51.76,51.76,51.76,51.76,51.76,51.76,51.76,51.76,51.76,52.02,52.02,52.02,52.02,52.02,56.52,56.52,56.52,56.52,56.52,56.52,56.52,56.52,56.62,56.67,56.67,56.67,57.3,57.3,57.3,57.3,57.3,55.98,55.98,55.98,56.01,54.96,18.94
EXR,41.67,41.67,41.67,41.67,41.67,41.67,41.67,41.67,41.67,42.19,42.19,42.19,42.19,42.18,42.18,42.18,42.18,42.18,42.18,42.18,42.18,42.1,42.18,42.18,42.18,42.18,42.18,45.18,45.18,54.88,54.88,54.88,54.88,54.88,54.72,52.88,15.74
XOM,63.76,63.76,64.15,64.15,64.15,64.15,64.15,64.15,64.15,62.91,62.91,62.9,62.9,62.61,62.61,64.11,64.11,64.11,64.11,64.11,63.97,63.97,63.97,63.97,63.97,63.97,63.97,63.97,63.97,63.97,63.97,63.97,63.97,63.97,63.65,37.46,37.46
FFIV,49.98,49.98,49.98,49.98,49.98,49.98,49.98,49.98,49.98,49.76,49.76,49.76,49.76,49.76,49.76,49.59,49.59,49.59,49.59,49.59,49.59,49.59,49.29,49.29,49.29,49.29,49.29,49.29,49.29,49.44,49.44,49.44,49.44,49.44,52.11,51.69,17.89
FDS,45.42,45.42,45.42,45.42,45.42,45.42,45.42,47.17,47.17,44.94,44.94,44.94,44.94,44.94,44.94,44.94,44.94,44.94,44.94,49.73,49.73,49.73,49.73,49.28,49.28,49.28,49.28,49.28,49.28,49.28,49.28,49.28,49.28,49.28,53.09,52.86,21.9
FAST,55.71,55.71,55.71,55.71,55.71,55.71,55.71,55.71,55.71,56.18,56.18,56.18,56.18,56.18,56.18,56.18,56.18,56.18,55.01,55.01,55.01,55.01,55.01,55.01,55.01,55.01,55.01,55.01,55.19,55.19,55.19,53.31,53.31,53.31,53.31,51.72,22.07
FRT,48.1,48.1,48.1,48.1,48.1,48.08,48.1,48.08,48.08,48.02,48.02,48.02,48.02,48.02,48.02,48.02,53.81,53.81,53.81,53.81,53.81,53.76,53.76,53.76,53.76,53.76,54.95,54.95,54.95,54.95,59.71,59.71,59.71,59.71,59.71,58.58,16.1
FDX,64.05,64.05,64.05,64.05,63.51,63.51,63.51,63.51,63.51,63.44,63.44,63.44,62.56,62.56,62.56,62.56,62.56,62.56,62.56,62.56,63.2,63.62,63.32,63.32,63.32,63.32,63.32,63.54,63.54,64.45,60.9,60.9,60.9,60.9,60.9,21.5,21.5
FITB,50.99,50.94,50.94,50.94,50.69,50.69,50.69,50.69,50.69,50.83,50.83,49.73,49.73,49.73,49.73,49.73,49.73,49.73,49.73,49.73,49.73,52.17,51.96,51.96,52.75,52.75,52.75,52.75,52.75,52.75,52.82,52.82,52.82,52.82,52.92,52.37,26.53
FRC,52.97,52.97,52.97,52.97,52.97,52.97,52.97,52.97,52.97,53.02,53.02,52.67,52.67,52.67,52.67,52.67,52.67,52.67,52.67,52.67,52.67,52.67,52.48,52.5,52.45,52.45,52.45,52.45,52.45,52.45,52.45,52.45,52.45,52.45,52.45,52.48,26.26
FE,55.56,55.56,55.56,55.56,56.24,56.24,56.24,56.24,59.64,60.21,60.21,60.21,60.21,60.21,60.21,60.21,59.41,59.41,59.41,59.41,59.41,59.61,59.81,58.83,58.83,58.83,59.16,59.16,59.16,59.15,59.15,59.15,59.15,59.15,59.2,57.85,39.74
FIS,46.95,46.95,46.95,46.95,45.95,45.95,45.95,45.95,45.7,47.11,47.11,47.11,47.11,47.11,47.11,47.11,47.11,47.11,47.11,47.04,47.04,47.41,47.11,47.15,49.47,49.47,49.47,49.47,49.47,49.47,49.47,49.47,49.47,49.47,49.52,49.56,19.38
FISV,45.37,45.33,45.33,45.33,45.33,45.33,45.33,45.33,45.86,46.51,46.51,46.51,46.51,46.51,46.51,46.51,46.51,46.51,46.51,46.51,46.51,46.64,46.64,46.36,46.36,46.36,46.36,46.36,46.36,46.36,46.36,46.36,46.36,46.36,46.36,45.32,19.62
FLT,45.47,45.47,45.47,45.47,45.47,45.47,45.47,45.43,45.24,45.87,45.87,45.87,45.87,45.87,45.87,45.87,45.87,45.87,45.87,45.87,45.87,46.32,46.02,45.17,45.17,45.17,45.17,45.17,45.17,45.17,45.17,45.17,45.17,45.17,45.07,44.33,19.67
FMC,60.96,60.96,60.96,60.96,63.08,63.08,63.08,63.08,63.18,66.32,66.32,66.32,66.32,66.94,66.94,66.94,66.94,66.94,66.94,66.94,66.94,66.94,66.74,66.74,66.74,66.65,67.02,64.57,65.46,65.58,65.58,65.58,65.58,63.77,63.77,63.51,37.29
F,65.07,63.27,63.27,63.27,62.9,62.9,62.9,63.47,63.47,59.5,59.5,59.5,59.5,59.5,58.9,61.09,61.09,61.09,61.09,61.09,61.09,61.09,60.99,60.99,60.99,60.99,61.57,61.57,61.57,61.57,61.56,61.56,61.56,61.53,64.61,29.87,29.87
FTNT,47.75,47.75,47.75,47.75,46.25,46.25,46.25,46.25,46.25,45.9,45.9,45.9,45.9,45.9,45.9,45.9,45.9,45.9,45.9,45.9,45.9,47.2,47.2,47.2,47.2,47.2,47.2,47.2,47.2,46.4,46.4,46.4,46.4,46.17,47.34,48.45,21.63
FBHS,50.16,50.16,50.16,50.16,50.16,50.16,50.16,50.16,49.93,51.11,51.11,51.11,51.11,51.11,51.11,51.11,51.11,51.11,51.11,51.11,48.65,48.65,48.35,48.35,48.35,48.35,48.35,48.35,48.35,48.35,51.76,51.76,51.76,51.76,51.64,50.35,25.65
BEN,56.52,56.52,56.71,56.66,56.35,56.35,56.35,56.35,56.35,55.48,55.48,55.48,55.48,55.48,55.48,55.48,55.52,55.52,60.02,60.02,60.02,60.02,59.71,59.71,59.71,59.71,59.71,59.71,62.07,62.07,62.16,63.5,63.5,63.46,63.46,62.87,20.44
FCX,69.42,69.42,67.31,69.92,67.54,67.54,67.54,67.54,67.54,64.71,64.71,63.52,63.52,63.52,63.52,63.52,63.52,63.52,63.52,63.52,63.52,64.92,64.62,64.62,64.62,64.62,65.04,66.72,66.72,66.71,66.71,66.71,66.71,66.71,65.75,64.12,40.2
GRMN,57.05,57.05,57.05,57.05,57.05,57.05,57.05,57.05,57.05,58.95,58.95,59.79,59.79,59.79,59.79,59.79,59.79,59.79,59.79,59.79,59.79,59.79,59.49,59.49,59.49,59.49,59.52,59.52,59.52,53.39,53.39,53.39,53.39,53.39,53.39,51.81,21.15
IT,48.02,48.02,48.02,48.02,48.02,48.02,48.02,48.02,47.86,46.31,46.31,46.31,46.31,46.31,46.31,46.31,46.31,46.31,46.31,46.31,46.31,46.59,46.59,46.55,46.34,46.34,46.34,46.34,46.34,46.34,46.34,47.82,47.82,47.82,47.82,46.96,28.96
GD,54.6,54.6,54.6,54.6,54.6,54.6,54.6,54.6,54.04,54.62,54.62,54.62,54.62,54.62,53.29,53.29,53.29,53.29,52.49,52.49,52.46,52.46,52.16,52.62,52.62,52.62,52.62,52.62,52.65,52.65,52.65,52.62,53.38,53.38,53.38,38.86,38.86
GE,70.17,70.17,70.17,70.17,70.17,69.27,70.17,69.24,69.27,65.86,65.81,65.81,66.33,66.33,66.33,66.33,66.33,66.33,66.33,66.33,66.33,63.72,63.49,63.44,63.44,62.15,62.15,62.15,62.15,62.15,62.15,62.37,62.37,62.37,62.37,42.27,46.76
GIS,68.3,68.3,68.3,68.3,68.09,68.09,68.09,68.89,68.89,69.03,70.4,70.36,70.98,70.98,70.98,70.98,70.98,70.98,70.98,70.98,70.98,70.9,71.09,71.09,71.09,71.09,71.12,71.12,70.36,70.36,70.1,70.39,70.39,70.39,70.39,70.5,22.43
GM,57.97,56.17,56.17,56.17,56.17,56.17,56.17,56.77,56.77,54.43,61.83,61.83,61.77,61.77,61.77,61.77,61.77,61.77,62.9,62.9,62.9,63.18,63.08,63.18,63.18,65.47,65.47,65.47,65.47,65.47,65.47,65.47,65.76,65.73,65.95,30.87,30.87
GPC,46.65,46.65,46.65,46.65,46.65,46.27,46.65,46.27,46.77,46.7,46.7,46.7,46.7,46.7,46.7,46.7,46.7,46.7,46.7,46.7,46.7,46.7,46.7,46.7,46.7,46.7,46.1,46.1,46.1,46.1,46.1,46.1,46.1,46.1,47.79,46.95,12.93
GILD,53.3,53.3,54.5,54.5,55.06,55.06,54.5,55.06,55.86,55.9,55.9,55.9,55.86,55.86,55.86,55.86,55.86,56.68,60.09,60.17,61.06,61.06,60.98,60.98,60.98,60.98,60.55,60.55,61.85,61.85,61.85,61.85,61.85,64.4,65.74,22.45,22.45
GPN,46.93,46.93,46.93,46.93,45.43,45.43,45.43,45.43,44.64,44.69,45.09,45.09,45.09,45.09,45.09,45.09,45.09,45.09,45.09,45.09,45.07,45.07,45.17,46.32,46.32,46.32,46.32,46.32,46.32,46.32,46.32,46.32,46.32,46.32,45.52,44.8,22.23
GS,68.72,68.72,68.72,68.72,68.47,68.47,68.47,68.67,68.67,68.3,68.3,68.3,68.3,68.3,68.3,68.3,68.3,68.3,68.3,68.3,68.3,68.79,68.69,68.71,68.71,68.71,66.43,66.43,66.34,66.34,66.34,66.34,66.34,69.55,69.55,32.05,32.05
HAL,58.83,58.83,58.83,58.83,59.33,59.33,59.33,59.33,59.33,59.2,59.2,59.2,59.2,59.2,59.2,60.17,60.17,60.17,60.17,60.17,60.17,60.17,59.87,59.87,59.87,59.69,59.69,59.69,59.69,59.69,59.69,59.69,59.69,59.87,62.24,30.68,30.68
HIG,55.8,55.8,57.32,57.32,57.11,57.06,57.11,57.06,57.06,57.22,57.22,57.22,57.22,57.3,57.3,57.3,57.3,57.3,68.31,68.41,68.41,68.36,68.26,68.26,68.26,68.26,68.26,68.26,68.26,68.26,68.26,68.26,68.26,68.26,68.86,67.01,20.55
HAS,64.37,64.37,64.37,64.37,64.5,64.5,64.5,64.5,64.5,62.6,62.6,62.6,62.84,64.71,64.71,64.71,64.71,64.71,64.71,64.71,64.43,64.65,64.85,64.85,64.85,64.85,64.85,64.85,64.85,61.63,60.86,60.86,60.86,60.86,60.86,60.15,12.33
HCA,55.32,55.32,55.32,55.32,55.32,55.32,55.32,55.32,55.03,55.89,55.89,55.89,55.89,55.89,55.89,55.89,55.89,55.89,55.89,55.89,55.89,55.44,54.37,54.37,54.37,54.37,54.37,54.37,54.37,54.37,54.37,54.37,54.37,54.37,54.37,53.49,28.24
HSIC,58.22,58.22,58.22,58.22,58.22,58.22,58.22,58.22,58.22,57.68,57.68,57.68,57.68,57.68,56.73,59.41,59.41,59.41,59.41,59.41,59.41,59.41,59.51,59.51,59.51,59.51,59.51,59.51,59.51,59.51,59.51,59.51,59.51,59.51,56.03,54.41,15.25
HSY,67.79,67.79,67.79,67.79,67.79,67.79,67.79,67.79,67.86,67.42,67.42,67.42,67.5,67.5,67.5,67.47,67.47,67.47,67.47,67.47,67.47,67.47,67.69,65.99,65.99,65.77,65.77,65.77,65.77,64.89,64.89,64.32,64.32,64.32,64.23,62.18,26.33
HES,73.83,73.83,73.83,73.83,73.7,73.7,73.7,73.7,73.7,72.91,72.91,72.91,72.91,76.41,76.41,76.41,76.41,76.41,76.41,76.41,76.41,76.41,76.41,76.41,76.41,76.41,76.71,78.2,78.2,78.2,78.2,78.32,78.32,79.15,79.15,78.37,31.56
HPE,76.42,76.42,78.37,78.37,77.27,77.27,77.27,79.67,79.67,80.22,80.22,80.22,80.22,81.94,80.19,80.19,79.62,79.62,79.62,78.5,78.5,78.5,78.4,78.6,78.6,78.6,79.51,79.51,79.51,79.48,79.48,80.24,80.24,80.22,78.06,17.21,17.21
HLT,65.47,65.47,65.47,65.47,65.22,65.22,65.22,66.02,66.02,66.76,67.33,67.33,67.33,67.33,67.33,67.33,67.33,67.33,67.33,65.81,66.0,66.0,66.1,66.1,66.1,66.1,66.1,66.1,66.1,66.1,66.1,66.1,68.73,68.73,68.73,68.01,20.51
HOLX,48.71,48.71,48.71,48.71,48.71,48.71,48.71,48.71,50.05,50.09,50.09,50.09,50.09,50.09,50.09,50.09,50.09,50.08,50.08,50.08,50.08,51.15,50.85,50.85,50.85,50.85,51.13,51.13,51.09,50.14,49.74,49.74,49.74,49.74,48.98,47.72,36.42
HD,63.26,63.26,63.26,63.26,62.63,62.63,63.39,61.26,61.26,61.63,61.63,61.63,61.63,61.63,61.63,61.63,61.63,61.63,61.63,61.63,68.48,68.48,68.28,68.28,68.28,68.28,68.16,68.16,68.16,68.16,68.16,68.16,68.79,68.81,66.27,13.36,13.36
HON,56.65,56.65,56.65,56.65,56.87,56.87,56.87,56.87,56.87,56.6,56.77,56.77,56.77,56.77,56.77,56.77,56.77,52.45,52.45,52.45,52.45,52.45,52.35,52.35,53.62,53.62,53.62,53.78,53.02,53.02,53.3,53.3,53.3,53.3,53.3,38.5,38.5
HRL,62.93,62.93,62.93,62.93,62.82,62.82,62.82,62.82,62.82,61.72,61.72,61.72,61.72,61.72,61.72,61.72,61.72,61.15,61.15,60.35,60.35,60.25,60.05,58.61,58.61,58.61,59.04,58.37,58.91,58.91,58.91,58.91,58.91,58.91,58.81,57.78,27.96
HST,72.12,72.12,72.12,74.78,74.92,74.92,74.92,74.92,74.92,71.94,71.94,71.94,71.94,71.94,71.94,71.94,71.94,71.94,71.94,71.94,71.94,71.88,72.06,72.06,72.06,72.06,68.17,68.17,68.17,68.17,68.17,68.23,68.23,68.23,68.23,65.5,14.43
HPQ,77.42,77.42,77.42,77.42,77.87,77.87,77.87,76.72,76.72,76.22,76.22,76.22,76.22,76.22,76.22,77.33,77.33,77.33,77.33,77.33,82.62,86.25,86.15,86.43,86.43,86.43,85.86,85.86,85.86,85.86,85.86,85.9,85.9,85.9,87.41,86.84,11.44
HUM,58.13,58.13,58.13,58.87,59.01,59.01,59.01,59.01,59.01,58.58,58.58,58.58,58.58,58.67,58.67,58.74,58.74,58.74,58.74,58.74,58.71,58.71,58.83,58.83,58.83,58.83,58.23,58.23,59.39,59.39,58.6,58.6,58.6,58.46,57.11,55.73,23.54
HBAN,52.7,52.7,52.7,51.56,51.69,50.69,51.69,50.69,50.69,50.53,50.53,50.49,50.49,50.49,50.49,50.49,50.49,50.49,50.49,50.49,50.49,53.38,53.06,53.06,53.06,53.06,53.06,53.06,53.06,53.06,52.69,52.69,57.62,57.62,57.62,57.63,22.96
IBM,72.55,72.55,72.55,72.55,73.05,73.05,73.05,74.82,76.38,76.26,76.26,76.26,76.26,76.26,76.26,76.26,76.26,76.26,76.26,76.26,76.26,74.47,74.47,74.47,74.47,74.47,74.47,74.47,74.02,74.02,74.27,74.27,74.27,74.34,74.46,17.58,17.58
IEX,55.63,55.63,55.63,55.63,55.63,55.63,55.63,55.63,55.63,55.71,55.71,55.71,55.71,55.71,46.88,46.88,46.88,46.88,46.88,46.88,46.88,46.88,46.88,46.88,46.88,46.88,48.54,48.54,48.81,48.81,48.81,48.81,48.81,48.81,48.81,48.44,33.65
IDXX,52.5,52.5,52.5,52.5,51.75,51.75,51.75,51.75,51.75,50.79,50.79,51.22,51.22,51.22,51.22,51.22,51.22,51.22,51.22,51.22,51.22,51.22,51.12,50.72,50.72,50.72,50.72,50.72,50.72,50.72,50.72,50.72,50.72,50.72,50.84,49.97,35.67
ITW,62.26,62.26,63.21,63.21,62.92,62.92,62.92,62.92,62.92,62.73,62.73,62.73,62.73,62.73,62.73,62.73,62.77,70.1,70.15,70.1,70.1,70.1,70.2,70.12,70.12,70.12,69.52,69.52,69.52,72.51,72.51,72.51,72.51,72.51,72.53,20.6,20.6
ILMN,48.76,48.76,48.76,48.76,49.3,49.3,49.3,49.3,54.56,54.13,54.13,59.14,59.14,59.14,59.14,59.14,59.14,59.14,59.14,59.14,59.14,60.1,59.76,59.76,59.76,60.91,60.91,60.91,60.91,60.91,60.48,60.48,60.91,60.91,60.91,59.99,15.07
INCY,48.02,48.02,48.02,48.02,48.02,48.02,48.02,48.02,48.52,48.02,48.02,48.02,48.02,48.02,48.02,48.02,48.02,48.46,48.46,48.46,48.46,48.46,48.46,48.46,48.46,48.46,48.46,48.41,48.27,50.18,50.18,50.18,50.18,50.18,50.18,50.52,28.02
IR,69.56,69.56,69.56,69.56,69.7,69.7,69.7,69.7,69.7,69.79,69.79,69.79,69.79,69.79,69.79,69.79,69.79,69.79,69.79,69.79,69.79,71.6,71.2,71.15,71.15,71.87,71.87,71.87,71.87,71.87,71.87,72.07,72.07,71.27,71.27,70.57,25.2
INTC,84.46,84.46,84.46,84.46,83.65,83.65,83.65,85.9,85.9,85.51,85.51,85.51,85.51,84.61,84.61,84.61,84.61,84.61,86.06,86.02,86.02,86.02,86.12,86.12,86.12,87.11,87.39,87.39,87.39,87.39,87.39,85.88,85.88,85.88,85.88,17.02,17.02
ICE,50.51,50.51,50.51,50.51,50.51,50.51,50.51,50.51,50.51,52.66,52.66,52.66,52.66,52.66,52.66,50.86,50.86,53.97,53.97,53.97,53.97,53.97,53.97,53.97,54.24,54.24,54.24,54.24,54.24,54.24,54.24,54.24,54.24,54.67,54.67,53.96,15.97
IP,66.68,66.68,66.65,68.86,69.12,69.12,69.12,69.12,69.12,69.22,64.55,64.55,64.55,63.98,63.98,63.98,63.98,63.98,63.98,63.98,63.98,63.91,65.43,65.43,65.43,65.43,65.43,65.43,65.15,65.15,65.15,65.15,65.15,65.15,59.62,58.39,26.52
IPG,56.16,56.16,56.16,56.16,55.96,55.96,55.96,55.96,55.96,57.41,57.41,57.41,53.63,59.39,59.39,59.39,59.39,59.39,59.39,59.39,59.39,59.63,59.71,59.71,59.71,59.71,59.47,59.47,59.31,59.85,58.13,58.13,58.13,59.13,59.13,57.46,16.14
IFF,68.5,68.5,68.5,68.5,68.5,68.5,68.5,68.6,68.6,68.16,68.16,68.16,68.16,68.16,68.16,68.16,68.16,68.16,74.05,74.05,74.05,74.05,74.16,74.16,74.16,74.16,73.28,73.28,73.28,73.28,73.55,73.55,73.55,74.28,80.05,79.31,24.86
INTU,59.2,59.2,59.2,59.2,60.2,60.2,60.2,60.2,60.2,61.96,61.96,61.96,63.14,66.19,66.19,66.19,66.19,66.19,66.19,66.19,66.19,66.19,66.09,66.12,66.12,66.12,63.36,62.48,62.48,62.48,60.88,60.88,60.88,60.68,60.68,58.63,18.15
ISRG,47.28,47.28,47.28,47.28,47.28,47.28,47.28,47.28,47.28,46.55,46.55,46.55,46.55,46.55,46.91,46.91,46.91,46.91,46.91,46.91,46.91,46.91,46.91,47.01,47.76,47.76,47.76,48.04,48.04,48.04,48.04,48.04,48.04,48.04,48.04,47.09,35.12
IVZ,63.49,63.49,63.49,63.49,63.49,63.49,63.49,64.44,64.44,64.76,64.76,64.76,64.76,64.76,64.76,64.76,64.71,64.71,64.71,64.71,64.71,65.03,65.24,65.24,65.24,65.24,65.24,65.24,65.24,65.24,65.24,65.24,65.24,65.24,65.47,64.57,26.04
